04/04/2025 00:57:20 - INFO - __main__ - Successfully load models
04/04/2025 00:57:22 - INFO - __main__ - Successfully load datasets!
04/04/2025 00:57:27 - INFO - attack.attack_model - Preparing data...
04/04/2025 00:57:27 - INFO - attack.attack_model - Generating feature vectors for member data...
04/04/2025 00:57:27 - INFO - attack.attack_model - [eval_perturb] Starting perturbation loop i=0, idx_rate=0.0
04/04/2025 01:23:25 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 01:23:57 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 01:23:58 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 01:24:48 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 01:25:37 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 01:26:30 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 01:27:05 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 01:27:45 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 01:28:38 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 01:29:13 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 01:30:06 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 01:30:46 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 01:31:43 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 01:32:41 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 01:33:21 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 01:34:10 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 01:34:38 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 01:35:54 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 01:36:45 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 01:37:13 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 01:37:56 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
04/04/2025 01:38:25 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 01:38:52 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 01:38:53 - INFO - attack.attack_model - Generating feature vectors for non-member data...
04/04/2025 01:38:53 - INFO - attack.attack_model - [eval_perturb] Starting perturbation loop i=0, idx_rate=0.0
04/04/2025 01:38:53 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 01:39:40 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 01:40:28 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 01:41:16 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 01:41:56 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 01:42:29 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 01:43:12 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 01:43:45 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 01:44:21 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 01:45:04 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 01:45:39 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 01:47:29 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 01:48:02 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 01:48:34 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 01:49:13 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 01:49:53 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 01:50:25 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 01:51:06 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 01:51:35 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
04/04/2025 01:52:04 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 01:52:47 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 01:52:47 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 01:53:17 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 01:54:07 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 01:54:48 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 01:55:28 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 01:56:01 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 01:56:52 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 01:57:30 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 01:58:10 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 01:58:51 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 01:59:37 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 02:00:30 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 02:01:16 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 02:02:13 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 02:02:56 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 02:03:33 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 02:04:12 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 02:04:44 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 02:05:44 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
04/04/2025 02:06:28 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 02:07:12 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 02:07:12 - INFO - attack.attack_model - [llm_eval] Iteration 0, batch size: 1
04/04/2025 02:07:48 - INFO - attack.attack_model - [llm_eval] Iteration 1, batch size: 1
04/04/2025 02:08:26 - INFO - attack.attack_model - [llm_eval] Iteration 2, batch size: 1
04/04/2025 02:09:07 - INFO - attack.attack_model - [llm_eval] Iteration 3, batch size: 1
04/04/2025 02:09:44 - INFO - attack.attack_model - [llm_eval] Iteration 4, batch size: 1
04/04/2025 02:10:19 - INFO - attack.attack_model - [llm_eval] Iteration 5, batch size: 1
04/04/2025 02:11:07 - INFO - attack.attack_model - [llm_eval] Iteration 6, batch size: 1
04/04/2025 02:12:02 - INFO - attack.attack_model - [llm_eval] Iteration 7, batch size: 1
04/04/2025 02:12:39 - INFO - attack.attack_model - [llm_eval] Iteration 8, batch size: 1
04/04/2025 02:13:21 - INFO - attack.attack_model - [llm_eval] Iteration 9, batch size: 1
04/04/2025 02:13:52 - INFO - attack.attack_model - [llm_eval] Iteration 10, batch size: 1
04/04/2025 02:14:21 - INFO - attack.attack_model - [llm_eval] Iteration 11, batch size: 1
04/04/2025 02:15:06 - INFO - attack.attack_model - [llm_eval] Iteration 12, batch size: 1
04/04/2025 02:16:00 - INFO - attack.attack_model - [llm_eval] Iteration 13, batch size: 1
04/04/2025 02:16:42 - INFO - attack.attack_model - [llm_eval] Iteration 14, batch size: 1
04/04/2025 02:17:06 - INFO - attack.attack_model - [llm_eval] Iteration 15, batch size: 1
04/04/2025 02:17:41 - INFO - attack.attack_model - [llm_eval] Iteration 16, batch size: 1
04/04/2025 02:18:21 - INFO - attack.attack_model - [llm_eval] Iteration 17, batch size: 1
04/04/2025 02:19:19 - INFO - attack.attack_model - [llm_eval] Iteration 18, batch size: 1
04/04/2025 02:20:11 - INFO - attack.attack_model - [llm_eval] Iteration 19, batch size: 1
04/04/2025 02:21:02 - INFO - attack.attack_model - [llm_eval] Completed iteration 19
04/04/2025 02:21:02 - INFO - attack.attack_model - Saving feature vectors...
04/04/2025 02:21:02 - INFO - attack.attack_model - Data preparation complete.
